flight_id,origin,scheduled_arrival,actual_arrival,airline,status,aircraft_type,departure_delay,arrival_delay,route_distance,query_time,forecast_type,start_time,end_time,winds_symbol,winds_direction,winds_speed,winds_units,visibility,visibility_symbol,significant_weather,turbulence_layers,icing_layers,barometric_pressure,clouds_coverage,clouds_altitude,timestamp,temp_c,dewpoint_c,wind_speed_kt,wind_direction,visibility_mi,altimeter_inhg,flight_category,humidity,cloud_base,cloud_coverage
UAL2398-1746238501-fa-1856p,Seattle-Tacoma Intl,2025-05-05 20:05:00+00:00,2025-05-05 21:15:49+00:00,UAL,Arrived / Delayed,B39M ,-300,4260,2302,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
N951NB-1746456389-sw-1181p,Scottsdale,2025-05-05 20:42:00+00:00,2025-05-05 21:20:01+00:00,,Arrived,CL30 ,1272,2281,1944,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
VJA264-1746438758-sw-1122p,Fort Lauderdale Intl,2025-05-05 20:52:00+00:00,2025-05-05 21:22:00+00:00,VJA,Arrived,C56X ,1310,1800,904,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
BAW291-1746249159-airline-1118p,London Heathrow,2025-05-05 20:40:00+00:00,2025-05-05 21:22:51+00:00,BAW,Arrived / Gate Arrival,B788 ,0,180,3738,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
UAL1957-1746248493-fa-933p,Cleveland-Hopkins Intl,2025-05-05 20:20:00+00:00,2025-05-05 21:25:00+00:00,UAL,Arrived / Delayed,A319 ,-60,4620,288,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
DAL1695-1746245454-fa-461p,Hartsfield-Jackson Intl,2025-05-05 20:14:00+00:00,2025-05-05 21:28:13+00:00,DAL,Arrived / Delayed,B752 ,1200,3840,534,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
UAL2344-1746250686-airline-1373p,Austin-Bergstrom Intl,2025-05-05 20:06:00+00:00,2025-05-05 21:31:00+00:00,UAL,Arrived / Delayed,B39M ,2880,7080,1296,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
UAL2276-1746250686-airline-1286p,New Orleans Intl,2025-05-05 20:14:00+00:00,2025-05-05 21:38:00+00:00,UAL,Arrived / Delayed,A320 ,5880,7140,955,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
UCA4925-1746250716-airline-929p,Manchester Boston Rgnl,2025-05-05 18:36:00+00:00,2025-05-05 21:40:37+00:00,UCA,Arrived / Delayed,E145 ,10860,11700,418,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
GJS4425-1746250747-airline-1243p,Cincinnati/Northern Kentucky International Airport,2025-05-05 18:29:00+00:00,2025-05-05 21:42:43+00:00,GJS,Arrived / Delayed,CRJ7 ,10980,12240,387,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
