query_time,forecast_type,start_time,end_time,winds_symbol,winds_direction,winds_speed,winds_units,visibility,visibility_symbol,significant_weather,turbulence_layers,icing_layers,barometric_pressure,clouds_coverage,clouds_altitude
2025-05-12T18:38:07Z,forecast,2025-05-12T18:00:00Z,,13008KT,130,8,KT,unlimited,P6SM,,,,,few,6000
2025-05-12T18:38:07Z,from,2025-05-12T23:00:00Z,,15008KT,150,8,KT,unlimited,P6SM,light rain_showers,,,,overcast,2000
2025-05-12T18:38:07Z,from,2025-05-13T04:00:00Z,,14005KT,140,5,KT,5,5SM,"light rain_showers, mist",,,,broken,900
2025-05-12T18:38:07Z,from,2025-05-13T10:00:00Z,,11007KT,110,7,KT,4,4SM,"rain_showers, mist",,,,scattered,400
2025-05-12T18:38:07Z,from,2025-05-13T15:00:00Z,,12010G18KT,120,10,KT,3,3SM,"rain_showers, mist",,,,overcast,600
2025-05-11T18:38:07Z,forecast,2025-05-11T18:00:00Z,,VRB03KT,variable,3,KT,unlimited,P6SM,,,,,broken,25000
2025-05-11T18:38:07Z,from,2025-05-11T21:00:00Z,,12005KT,120,5,KT,unlimited,P6SM,,,,,broken,25000
2025-05-11T18:38:07Z,from,2025-05-12T04:00:00Z,,08004KT,80,4,KT,unlimited,P6SM,,,,,broken,25000
2025-05-11T18:38:07Z,from,2025-05-12T15:00:00Z,,15005KT,150,5,KT,unlimited,P6SM,,,,,broken,7000
2025-05-11T18:38:07Z,from,2025-05-12T20:00:00Z,,15007KT,150,7,KT,unlimited,P6SM,light rain_showers,,,,broken,2500
2025-05-11T18:38:07Z,from,2025-05-12T23:00:00Z,,14006KT,140,6,KT,5,5SM,"light rain_showers, mist",,,,broken,1500
2025-05-10T18:38:07Z,forecast,2025-05-10T18:00:00Z,,29008KT,290,8,KT,unlimited,P6SM,,,,,few,25000
2025-05-10T18:38:07Z,from,2025-05-10T21:00:00Z,,32008KT,320,8,KT,unlimited,P6SM,,,,,few,25000
2025-05-10T18:38:07Z,from,2025-05-11T00:00:00Z,,22003KT,220,3,KT,unlimited,P6SM,,,,,scattered,25000
2025-05-10T18:38:07Z,from,2025-05-11T13:00:00Z,,VRB04KT,variable,4,KT,unlimited,P6SM,,,,,scattered,25000
2025-05-09T18:38:07Z,forecast,2025-05-09T18:00:00Z,,33012G20KT,330,12,KT,unlimited,P6SM,vicinity_showers,,,,broken,1000
2025-05-09T18:38:07Z,from,2025-06-09T18:30:00Z,,33012G20KT,330,12,KT,unlimited,P6SM,,,,,broken,3500
