timestamp,temp_c,dewpoint_c,wind_speed_kt,wind_direction,visibility_mi,altimeter_inhg,flight_category,humidity,cloud_base,cloud_coverage
2025-05-12T17:52:00Z,24,13,7,160,10,30.23,,48,5000,BKN050
2025-05-12T16:52:00Z,24,12,8,130,10,30.24,,45,6000,FEW060
2025-05-12T15:52:00Z,23,11,7,180,10,30.26,,46,15000,SCT150
2025-05-12T14:52:00Z,23,10,8,170,10,30.26,,43,15000,FEW150
2025-05-12T13:52:00Z,22,12,6,140,10,30.27,,53,25000,SCT250
2025-05-12T12:52:00Z,19,13,0,0,10,30.29,,68,25000,SCT250
2025-05-12T11:52:00Z,17,13,0,0,10,30.3,,78,7000,FEW070
2025-05-12T10:52:00Z,12,11,0,0,10,30.28,,96,20000,SCT200
2025-05-12T09:52:00Z,11,11,0,0,10,30.27,,97,25000,SCT250
2025-05-12T08:52:00Z,12,11,0,0,10,30.26,,93,25000,FEW250
2025-05-12T07:52:00Z,12,11,0,0,10,30.26,,93,25000,FEW250
2025-05-12T06:52:00Z,13,11,3,70,10,30.25,,87,25000,BKN250
2025-05-12T05:52:00Z,15,12,0,0,10,30.26,,81,25000,BKN250
2025-05-12T04:52:00Z,16,12,0,0,10,30.26,,75,25000,BKN250
2025-05-12T03:52:00Z,17,12,0,0,10,30.25,,72,25000,BKN250
2025-05-12T17:52:00Z,24,13,7,160,10,30.23,,48,5000,BKN050
2025-05-12T16:52:00Z,24,12,8,130,10,30.24,,45,6000,FEW060
2025-05-12T15:52:00Z,23,11,7,180,10,30.26,,46,15000,SCT150
2025-05-12T14:52:00Z,23,10,8,170,10,30.26,,43,15000,FEW150
2025-05-12T13:52:00Z,22,12,6,140,10,30.27,,53,25000,SCT250
2025-05-12T12:52:00Z,19,13,0,0,10,30.29,,68,25000,SCT250
2025-05-12T11:52:00Z,17,13,0,0,10,30.3,,78,7000,FEW070
2025-05-12T10:52:00Z,12,11,0,0,10,30.28,,96,20000,SCT200
2025-05-12T09:52:00Z,11,11,0,0,10,30.27,,97,25000,SCT250
2025-05-12T08:52:00Z,12,11,0,0,10,30.26,,93,25000,FEW250
2025-05-12T07:52:00Z,12,11,0,0,10,30.26,,93,25000,FEW250
2025-05-12T06:52:00Z,13,11,3,70,10,30.25,,87,25000,BKN250
2025-05-12T05:52:00Z,15,12,0,0,10,30.26,,81,25000,BKN250
2025-05-12T04:52:00Z,16,12,0,0,10,30.26,,75,25000,BKN250
2025-05-12T03:52:00Z,17,12,0,0,10,30.25,,72,25000,BKN250
2025-05-12T17:52:00Z,24,13,7,160,10,30.23,KIAD 121752Z 16007G18KT 10SM BKN050 OVC080 24/13 A3023 RMK AO2 SLP236 T02440128 10244 20167 58009,,,48,5000,BKN050
2025-05-12T16:52:00Z,24,12,8,130,10,30.24,KIAD 121652Z 13008KT 10SM FEW060 BKN150 BKN250 24/12 A3024 RMK AO2 SLP240 T02440117,,,45,6000,FEW060
2025-05-12T15:52:00Z,23,11,7,180,10,30.26,KIAD 121552Z 18007KT 10SM SCT150 BKN250 23/11 A3026 RMK AO2 SLP244 T02330111,,,46,15000,SCT150
2025-05-12T14:52:00Z,23,10,8,170,10,30.26,KIAD 121452Z 17008KT 10SM FEW150 BKN250 23/10 A3026 RMK AO2 SLP245 T02330100 58013,,,43,15000,FEW150
2025-05-12T13:52:00Z,22,12,6,140,10,30.27,KIAD 121352Z 14006KT 10SM SCT250 22/12 A3027 RMK AO2 SLP249 T02220122,,,53,25000,SCT250
2025-05-12T12:52:00Z,19,13,0,0,10,30.29,KIAD 121252Z 00000KT 10SM SCT250 19/13 A3029 RMK AO2 SLP256 T01940133,,,68,25000,SCT250
2025-05-12T11:52:00Z,17,13,0,0,10,30.3,KIAD 121152Z 00000KT 10SM FEW070 BKN250 17/13 A3030 RMK AO2 SLP258 T01670128 10167 20100 53013,,,78,7000,FEW070
2025-05-12T10:52:00Z,12,11,0,0,10,30.28,KIAD 121052Z 00000KT 10SM SCT200 BKN250 12/11 A3028 RMK AO2 SLP253 T01170111 $,,,96,20000,SCT200
2025-05-12T09:52:00Z,11,11,0,0,10,30.27,KIAD 120952Z 00000KT 10SM SCT250 11/11 A3027 RMK AO2 SLP248 T01110106 $,,,97,25000,SCT250
2025-05-12T08:52:00Z,12,11,0,0,10,30.26,KIAD 120852Z 00000KT 10SM FEW250 12/11 A3026 RMK AO2 SLP245 T01170106 53001 $,,,93,25000,FEW250
2025-05-12T07:52:00Z,12,11,0,0,10,30.26,KIAD 120752Z 00000KT 10SM FEW250 12/11 A3026 RMK AO2 SLP245 T01170106 $,,,93,25000,FEW250
2025-05-12T06:52:00Z,13,11,3,70,10,30.25,KIAD 120652Z 07003KT 10SM BKN250 13/11 A3025 RMK AO2 SLP243 T01330111 $,,,87,25000,BKN250
2025-05-12T05:52:00Z,15,12,0,0,10,30.26,KIAD 120552Z 00000KT 10SM BKN250 15/12 A3026 RMK AO2 SLP244 T01500117 10228 20133 53000 $,,,81,25000,BKN250
2025-05-12T04:52:00Z,16,12,0,0,10,30.26,KIAD 120452Z 00000KT 10SM BKN250 16/12 A3026 RMK AO2 SLP244 T01610117 402670089 $,,,75,25000,BKN250
2025-05-12T03:52:00Z,17,12,0,0,10,30.25,KIAD 120352Z 00000KT 10SM BKN250 17/12 A3025 RMK AO2 SLP242 T01670117 $,,,72,25000,BKN250
2025-05-11T17:52:00Z,26,8,4,20,10,30.23,KIAD 111752Z 02004KT 10SM BKN250 26/08 A3023 RMK AO2 SLP235 T02610083 10267 20144 58006 $,,,32,25000,BKN250
2025-05-11T16:52:00Z,26,7,0,0,10,30.25,KIAD 111652Z 00000KT 10SM BKN250 26/07 A3025 RMK AO2 SLP241 T02560067 $,,,30,25000,BKN250
2025-05-11T15:52:00Z,25,8,5,30,10,30.25,KIAD 111552Z 03005KT 10SM BKN250 25/08 A3025 RMK AO2 SLP241 T02500078 $,,,33,25000,BKN250
2025-05-11T14:52:00Z,23,9,3,0,10,30.25,KIAD 111452Z VRB03KT 10SM BKN250 23/09 A3025 RMK AO2 SLP241 T02280094 51008 $,,,42,25000,BKN250
2025-05-11T13:52:00Z,21,9,3,0,10,30.25,KIAD 111352Z VRB03KT 10SM BKN250 21/09 A3025 RMK AO2 SLP240 T02060094 $,,,49,25000,BKN250
2025-05-11T12:52:00Z,17,11,0,0,10,30.24,KIAD 111252Z 00000KT 10SM BKN250 17/11 A3024 RMK AO2 SLP239 T01720106 $,,,65,25000,BKN250
2025-05-11T11:52:00Z,14,11,4,200,10,30.22,KIAD 111152Z 20004KT 10SM BKN250 14/11 A3022 RMK AO2 SLP233 T01440106 10144 20089 53013 $,,,78,25000,BKN250
2025-05-11T10:52:00Z,11,9,0,0,10,30.2,KIAD 111052Z 00000KT 10SM BKN250 11/09 A3020 RMK AO2 SLP225 T01110089 $,,,86,25000,BKN250
2025-05-11T09:52:00Z,9,8,0,0,10,30.19,KIAD 110952Z 00000KT 10SM BKN250 09/08 A3019 RMK AO2 SLP222 T00940078 $,,,90,25000,BKN250
2025-05-11T08:52:00Z,10,8,0,0,10,30.19,KIAD 110852Z 00000KT 10SM SCT250 10/08 A3019 RMK AO2 SLP221 T01000078 51004 $,,,86,25000,SCT250
2025-05-11T07:52:00Z,11,8,0,0,10,30.19,KIAD 110752Z 00000KT 10SM BKN250 11/08 A3019 RMK AO2 SLP220 T01110083 $,,,83,25000,BKN250
2025-05-11T06:52:00Z,12,8,3,190,10,30.18,KIAD 110652Z 19003KT 10SM BKN250 12/08 A3018 RMK AO2 SLP218 T01170078 $,,,77,25000,BKN250
